City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
123,Pandan,PH,85.96,14.0453,124.1694,overcast clouds,Bonifacio Lodge
127,Temba,ZA,75.11,-25.3803,28.2631,broken clouds,Gene's Guesthouse
130,Chandbali,IN,83.19,20.7833,86.7667,broken clouds,Sabitri Bhavan
132,Nishihara,JP,83.48,26.1842,127.7558,overcast clouds,Minshuku Agaihama
140,Sao Miguel Do Araguaia,BR,79.63,-13.275,-50.1628,few clouds,Hotel Executivo Palace
141,Marawi,PH,84.15,7.9986,124.2928,overcast clouds,Derogongan Residence
143,Pangkalanbuun,ID,86.52,-2.6833,111.6167,overcast clouds,Grand Kecubung Hotel
158,Hithadhoo,MV,81.16,-0.6,73.0833,overcast clouds,Scoop Guest House
163,Alofi,NU,80.49,-19.0595,-169.9187,clear sky,Taloa Heights
173,Isangel,VU,78.91,-19.55,169.2667,overcast clouds,Tanna Lodge
180,Garhshankar,IN,77.97,31.2167,76.1333,clear sky,The Oasis Hotel
182,Soyo,AO,75.94,-6.1349,12.3689,broken clouds,Hospedaria ndozi'ame
184,Khed Brahma,IN,79.92,24.0333,73.05,clear sky,UMIYA NASTA HOUSE
186,Kattivakkam,IN,86.09,13.2167,80.3167,broken clouds,Euronova Freezer
195,Vanimo,PG,78.3,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
204,Gatesville,US,84.31,31.4352,-97.7439,clear sky,Ramada by Wyndham Gatesville N. Fort Hood
207,Auki,SB,84.74,-8.7676,160.7034,overcast clouds,Auki Motel
209,Pontian Kecil,MY,84.52,1.4801,103.3899,overcast clouds,SUNFLOWER EXPRESS HOTEL
210,Faanui,PF,78.82,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
213,Sulphur Springs,US,78.94,33.1385,-95.6011,clear sky,Clarion Pointe Sulphur Springs
223,Mayumba,GA,76.35,-3.432,10.6554,overcast clouds,LIKWALE LODGE
226,Sokoni,TZ,75.06,-6.4333,39.55,clear sky,Ujamaa Beach Resort
227,The Valley,AI,82.09,18.217,-63.0578,clear sky,CeBlue Villas & Beach Resort
228,Chabahar,IR,80.53,25.2919,60.643,clear sky,هتل گدروشیا
237,Pontianak,ID,82.38,-0.0333,109.3333,broken clouds,Aston Pontianak Hotel & Convention Center
246,Palauig,PH,86.14,15.435,119.9045,overcast clouds,Villa Raphael Resort
255,San Patricio,US,82.29,28.017,-97.5169,broken clouds,"Motel 6 Sinton, TX"
265,Sonoita,MX,82.94,31.85,-112.8333,scattered clouds,Hotel internacional
266,Wahiawa,US,80.92,21.5028,-158.0236,broken clouds,The Inn At Schofield
273,Coahuayana,MX,79.03,18.7333,-103.6833,overcast clouds,El rranchito michuacan de ocampos
276,Pa Daet,TH,85.33,19.5049,99.9924,overcast clouds,วัชชระ วรรณะสุข
277,Champasak,LA,77.88,14.75,106.0,scattered clouds,Kiat Ngong Wetland BUNGALOW
279,Tagusao,PH,85.41,9.1924,117.8141,overcast clouds,Caycay future beach resort
