City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Syumsi,RU,57.1111,51.6149,46.53,91,100,3.85,overcast clouds
173,Isangel,VU,-19.55,169.2667,78.91,69,97,6.91,overcast clouds
174,Vao,NC,-22.6667,167.4833,71.42,73,8,18.81,clear sky
175,Flin Flon,CA,54.7682,-101.865,32.95,65,100,19.19,overcast clouds
176,Port Augusta,AU,-32.5,137.7667,62.06,50,100,12.93,overcast clouds
177,Hagi,JP,34.4,131.4167,68.09,58,0,8.79,clear sky
178,Yinchuan,CN,38.4681,106.2731,59.63,16,100,3.33,overcast clouds
179,Fergus Falls,US,46.283,-96.0776,43.86,70,100,8.05,overcast clouds
180,Garhshankar,IN,31.2167,76.1333,77.97,67,0,1.92,clear sky
181,San Gavino Monreale,IT,39.5514,8.7917,67.46,96,86,0.87,overcast clouds
182,Soyo,AO,-6.1349,12.3689,75.94,86,73,4.99,broken clouds
183,Okhotsk,RU,59.3833,143.3,34.59,47,56,9.22,broken clouds
184,Khed Brahma,IN,24.0333,73.05,79.92,39,2,3.13,clear sky
185,Geraldton,AU,-28.7667,114.6,70.21,24,0,10.36,clear sky
186,Kattivakkam,IN,13.2167,80.3167,86.09,76,68,2.84,broken clouds
187,Fort Nelson,CA,58.8053,-122.7002,40.59,65,75,0.0,broken clouds
188,Inyonga,TZ,-6.7167,32.0667,60.42,49,31,4.18,scattered clouds
189,Thinadhoo,MV,0.5333,72.9333,81.07,76,100,14.09,overcast clouds
190,Barsovo,RU,61.1667,73.1667,30.33,88,12,4.76,few clouds
191,Shemonaikha,KZ,50.6328,81.9056,48.31,40,47,2.73,scattered clouds
192,Xiuyan,CN,40.2928,123.2744,61.74,63,99,8.14,overcast clouds
193,Spas-Demensk,RU,54.4122,34.0226,42.69,76,100,3.8,overcast clouds
194,Klaksvik,FO,62.2266,-6.589,49.12,87,100,26.35,light rain
195,Vanimo,PG,-2.6741,141.3028,78.3,89,100,4.83,overcast clouds
196,San Quintin,MX,30.4833,-115.95,67.66,84,6,15.28,clear sky
197,Pevek,RU,69.7008,170.3133,19.92,80,100,8.61,overcast clouds
198,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,6.91,broken clouds
199,Cidreira,BR,-30.1811,-50.2056,62.15,89,70,7.67,broken clouds
200,Santa Fe,AR,-31.6333,-60.7,67.01,40,43,13.0,scattered clouds
201,Port Alfred,ZA,-33.5906,26.891,66.18,95,100,4.0,overcast clouds
202,Lavrentiya,RU,65.5833,-171.0,28.18,52,98,3.38,overcast clouds
203,Khani,GE,41.9563,42.9566,40.57,65,100,3.31,overcast clouds
204,Gatesville,US,31.4352,-97.7439,84.31,38,0,11.1,clear sky
205,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,20,0,25.32,clear sky
206,Tuatapere,NZ,-46.1333,167.6833,54.28,54,8,6.71,clear sky
207,Auki,SB,-8.7676,160.7034,84.74,66,100,5.66,overcast clouds
208,Kestel,TR,40.1983,29.2124,53.08,84,69,2.84,broken clouds
209,Pontian Kecil,MY,1.4801,103.3899,84.52,73,100,6.8,overcast clouds
210,Faanui,PF,-16.4833,-151.75,78.82,74,38,10.92,light rain
211,Pyshchug,RU,58.8873,45.7134,37.35,94,85,3.8,overcast clouds
212,Alice Springs,AU,-23.7,133.8833,67.55,42,100,17.27,overcast clouds
213,Sulphur Springs,US,33.1385,-95.6011,78.94,53,0,9.22,clear sky
214,Usinsk,RU,65.9939,57.5281,36.5,91,100,10.85,overcast clouds
215,Kincardine,GB,56.0667,-3.7167,46.58,95,4,4.34,clear sky
216,Ahuatempan,MX,18.4167,-98.0167,65.73,79,96,2.57,overcast clouds
217,Qaqortoq,GL,60.7167,-46.0333,21.24,67,0,7.9,clear sky
218,Yertsevo,RU,60.7966,40.086,37.47,94,60,3.22,broken clouds
219,Glubokiy,RU,48.5217,40.3258,46.62,68,60,3.91,broken clouds
220,Baykit,RU,61.67,96.37,35.87,82,100,7.56,overcast clouds
221,Lanzhou,CN,36.0564,103.7922,52.97,37,100,4.52,overcast clouds
222,Hualmay,PE,-11.0964,-77.6139,60.8,85,4,11.77,clear sky
223,Mayumba,GA,-3.432,10.6554,76.35,90,98,7.47,overcast clouds
224,Tambacounda,SN,13.7539,-13.7586,80.65,83,0,6.91,clear sky
225,Bastia,FR,42.6667,9.3333,62.02,91,100,6.91,overcast clouds
226,Sokoni,TZ,-6.4333,39.55,75.06,73,4,13.65,clear sky
227,The Valley,AI,18.217,-63.0578,82.09,74,3,14.29,clear sky
228,Chabahar,IR,25.2919,60.643,80.53,55,6,2.33,clear sky
229,Kholmogory,RU,64.2229,41.656,37.81,95,82,4.45,broken clouds
230,Arraial Do Cabo,BR,-22.9661,-42.0278,69.73,93,71,2.98,broken clouds
231,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,80,75,16.11,broken clouds
232,Teeli,RU,51.0333,90.2333,45.61,36,17,2.44,few clouds
233,Abu Kamal,SY,34.4506,40.9171,74.07,32,35,6.78,scattered clouds
234,Inhambane,MZ,-23.865,35.3833,70.3,90,22,3.27,few clouds
235,Souillac,MU,-20.5167,57.5167,70.18,73,40,5.75,scattered clouds
236,Korla,CN,41.7597,86.1469,52.74,40,50,5.64,scattered clouds
237,Pontianak,ID,-0.0333,109.3333,82.38,83,75,2.3,broken clouds
238,Centralia,US,46.7162,-122.9543,61.0,70,0,3.44,clear sky
239,Yulara,AU,-25.2406,130.9889,58.05,44,100,10.45,overcast clouds
240,Sabha,LY,27.0377,14.4283,71.85,29,2,10.98,clear sky
241,Muros,ES,42.7762,-9.0603,56.84,93,100,4.76,overcast clouds
242,Bonavista,CA,48.6499,-53.1147,49.21,76,54,9.28,broken clouds
243,Raichur,IN,16.2,77.3667,70.48,92,100,12.21,light rain
244,Saint-Augustin,CA,51.226,-58.6502,45.18,86,100,5.41,overcast clouds
245,Deputatskiy,RU,69.3,139.9,6.96,86,4,3.42,clear sky
246,Palauig,PH,15.435,119.9045,86.14,65,98,3.96,overcast clouds
247,Talnakh,RU,69.4865,88.3972,31.21,90,98,5.84,overcast clouds
248,Clearlake,US,38.9582,-122.6264,69.15,45,0,4.74,clear sky
249,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.8,100,0,2.3,clear sky
250,Chinsali,ZM,-10.5414,32.0816,59.81,48,3,5.61,clear sky
251,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,62.38,95,100,0.69,overcast clouds
252,Nelson Bay,AU,-32.7167,152.15,71.1,69,98,18.99,overcast clouds
253,Winnemucca,US,40.973,-117.7357,62.65,25,0,0.0,clear sky
254,Canutama,BR,-6.5339,-64.3831,74.8,87,99,1.43,overcast clouds
255,San Patricio,US,28.017,-97.5169,82.29,71,70,9.06,broken clouds
256,Tias,ES,28.9611,-13.645,69.48,73,0,17.27,clear sky
257,Ribeira Grande,PT,38.5167,-28.7,72.77,83,96,10.0,overcast clouds
258,Sistranda,NO,63.7256,8.834,48.16,73,100,5.68,overcast clouds
259,Maragogi,BR,-9.0122,-35.2225,74.89,85,65,10.2,broken clouds
260,Cranbrook,CA,49.4999,-115.7688,53.44,40,20,4.61,few clouds
261,Kenai,US,60.5544,-151.2583,39.15,49,75,13.8,broken clouds
262,Chimbote,PE,-9.0853,-78.5783,60.08,88,1,6.6,clear sky
263,Ancud,CL,-41.8697,-73.8203,40.26,70,13,5.53,few clouds
264,Turukhansk,RU,65.8167,87.9833,33.62,85,100,9.64,overcast clouds
265,Sonoita,MX,31.85,-112.8333,82.94,39,42,5.84,scattered clouds
266,Wahiawa,US,21.5028,-158.0236,80.92,79,75,10.36,broken clouds
267,Aasiaat,GL,68.7098,-52.8699,17.6,91,77,6.04,broken clouds
268,Bujak,HU,47.8835,19.5438,52.61,82,86,1.7,overcast clouds
269,Dhilwan,IN,31.5169,75.35,74.93,66,0,2.04,clear sky
270,Westport,US,41.1415,-73.3579,62.8,84,0,9.22,clear sky
271,Mosquera,CO,4.7059,-74.2302,48.29,93,20,2.3,few clouds
272,Taltal,CL,-25.4,-70.4833,56.89,81,55,2.66,broken clouds
273,Coahuayana,MX,18.7333,-103.6833,79.03,92,100,1.7,overcast clouds
274,Santa Maria,BR,-29.6842,-53.8069,54.7,100,0,2.3,clear sky
275,Monduli,TZ,-3.3,36.45,53.8,85,16,5.48,few clouds
276,Pa Daet,TH,19.5049,99.9924,85.33,84,97,0.96,overcast clouds
277,Champasak,LA,14.75,106.0,77.88,54,33,3.06,scattered clouds
278,The Pas,CA,53.8251,-101.2541,37.42,70,75,21.85,broken clouds
279,Tagusao,PH,9.1924,117.8141,85.41,72,88,15.48,overcast clouds
